InvoiceNumber,CustomerName,CustomerINN,IssueDate,DueDate,TotalAmount,PaidAmount
INV-2023-001,ООО "Ромашка",7712345678,2023-10-01,2023-10-31,15000.50,15000.50
INV-2023-002,ИП Иванов И.И.,501234567890,2023-10-05,2023-11-04,25000.00,10000.00
INV-2023-003,АО "Перспектива",7709876543,2023-10-15,2023-11-14,5000.00,
INV-2023-004,ООО "СтройКом",6677889900,2023-11-01,2023-12-01,120500.75,120500.75
INV-2023-005,ООО "Ромашка",7712345678,2023-11-10,2023-12-10,30000.00,
INV-2023-006,ИП Петров П.П.,405566778899,2023-11-15,2023-12-15,7500.00,7500.00
INV-2023-007,АО "Перспектива",7709876543,2023-11-20,2023-12-20,18000.00,5000
INV-2023-008,ООО "ТехноМир",7711223344,2023-12-01,2023-12-31,95000.00,
INV-2023-009,ИП Иванов И.И.,501234567890,2023-12-05,2024-01-04,42000.00,
INV-2023-010,ООО "Ромашка",7712345678,2023-12-10,2024-01-09,5500.00,5500.00
INV-2024-001,АО "Перспектива",7709876543,2024-01-15,2024-02-14,22000.00,
INV-2024-002,ООО "СтройКом",6677889900,2024-01-20,2024-02-19,78000.00,78000.00
INV-2024-003,ООО "ТехноМир",7711223344,2024-01-25,2024-02-24,15000.00,0
INV-2024-004,ИП Сидоров С.С.,301122334455,2024-02-01,2024-03-02,9900.00,
INV-2024-005,ООО "Ромашка",7712345678,2024-02-05,2024-03-06,12500.00,
INV-2024-006,АО "Перспектива",7709876543,2024-02-10,2024-03-11,31000.50,31000.50
INV-2024-007,ИП Иванов И.И.,501234567890,2024-02-15,2024-03-16,19500.00,
INV-2024-008,ООО "ТехноМир",7711223344,2024-02-20,2024-03-21,64000.00,30000
INV-2024-009,ООО "СтройКом",6677889900,2024-02-25,2024-03-26,8500.00,
INV-2024-010,ИП Петров П.П.,405566778899,2024-03-01,2024-03-31,11200.00,
INV-2024-011,ООО "Ромашка",7712345678,2024-03-05,2024-04-04,17000.00,
INV-2024-012,ООО "Альфа",7755555555,2024-03-10,2024-04-09,50000.00,
INV-2024-013,ООО "Альфа",7755555555,2024-03-11,2024-04-10,25000.00,25000.00
